,External_ID,contents
1083,rec_05_audio_1.wav,<>
1079,rec_05_audio_10.wav,<>
1088,rec_05_audio_11.wav,<>
1091,rec_05_audio_12.wav,<>
1094,rec_05_audio_13.wav,<>
1092,rec_05_audio_14.wav,<>
1090,rec_05_audio_15.wav,<>
1078,rec_05_audio_2.wav,<>
1085,rec_05_audio_3.wav,<>
1084,rec_05_audio_4.wav,<>
1089,rec_05_audio_5.wav,<>
1087,rec_05_audio_6.wav,<>
1082,rec_05_audio_7.wav,<>
1081,rec_05_audio_8.wav,<>
1080,rec_05_audio_9.wav,<>
1093,rec_05_small_audio_0.wav,<>
1096,rec_06_audio_0.wav,<>
1097,rec_06_audio_1.wav,<>
1099,rec_06_audio_2.wav,<>
1095,rec_06_audio_3.wav,<>
1098,rec_06_small_audio_0.wav,<>
1114,rec_07_audio_0.wav,<>
1109,rec_07_audio_1.wav,<>
1108,rec_07_audio_10.wav,<>
1118,rec_07_audio_11.wav,<>
1120,rec_07_audio_12.wav,<>
1112,rec_07_audio_13.wav,<>
1104,rec_07_audio_14.wav,<>
1117,rec_07_audio_15.wav,<>
1113,rec_07_audio_16.wav,<>
1106,rec_07_audio_17.wav,<>
1134,rec_07_audio_18.wav,<>
1128,rec_07_audio_19.wav,<>
1125,rec_07_audio_2.wav,<>
1127,rec_07_audio_20.wav,<>
1105,rec_07_audio_21.wav,<>
1124,rec_07_audio_22.wav,<>
1100,rec_07_audio_23.wav,<>
1126,rec_07_audio_24.wav,<>
1101,rec_07_audio_25.wav,<>
1116,rec_07_audio_26.wav,<>
1135,rec_07_audio_27.wav,<>
1122,rec_07_audio_28.wav,<>
1119,rec_07_audio_29.wav,<>
1133,rec_07_audio_3.wav,<>
1115,rec_07_audio_30.wav,<>
1132,rec_07_audio_31.wav,<>
1131,rec_07_audio_32.wav,<>
1102,rec_07_audio_33.wav,<>
1103,rec_07_audio_34.wav,<>
1123,rec_07_audio_35.wav,<>
1111,rec_07_audio_4.wav,<>
1129,rec_07_audio_5.wav,<>
1121,rec_07_audio_6.wav,<>
1110,rec_07_audio_7.wav,<>
1130,rec_07_audio_8.wav,<>
1107,rec_07_audio_9.wav,<>
1148,rec_08_audio_0.wav,<>
1157,rec_08_audio_1.wav,<>
1138,rec_08_audio_10.wav,<>
1145,rec_08_audio_11.wav,<>
1141,rec_08_audio_12.wav,<>
1140,rec_08_audio_13.wav,<>
1161,rec_08_audio_14.wav,<>
1137,rec_08_audio_15.wav,<>
1150,rec_08_audio_16.wav,<>
1159,rec_08_audio_17.wav,<>
1139,rec_08_audio_18.wav,<>
1136,rec_08_audio_19.wav,<>
1163,rec_08_audio_2.wav,<>
1156,rec_08_audio_20.wav,<>
1151,rec_08_audio_21.wav,<>
1153,rec_08_audio_22.wav,<>
1160,rec_08_audio_23.wav,<>
1144,rec_08_audio_24.wav,<>
1146,rec_08_audio_25.wav,<>
1158,rec_08_audio_26.wav,<>
1155,rec_08_audio_27.wav,<>
1154,rec_08_audio_28.wav,<>
1142,rec_08_audio_3.wav,<>
1152,rec_08_audio_4.wav,<>
1164,rec_08_audio_5.wav,<>
1162,rec_08_audio_6.wav,<>
1147,rec_08_audio_7.wav,<>
1165,rec_08_audio_8.wav,<>
1143,rec_08_audio_9.wav,<>
1149,rec_08_small_audio_0.wav,<>
1231,rec_09_audio_0.wav,<>
1230,rec_09_audio_1.wav,<>
1166,rec_09_audio_10.wav,<>
1169,rec_09_audio_11.wav,<>
1212,rec_09_audio_12.wav,<>
1204,rec_09_audio_13.wav,<>
1226,rec_09_audio_14.wav,<>
1181,rec_09_audio_15.wav,<>
1197,rec_09_audio_16.wav,<>
1175,rec_09_audio_17.wav,<>
1225,rec_09_audio_18.wav,<>
1218,rec_09_audio_19.wav,<>
1198,rec_09_audio_2.wav,<>
1221,rec_09_audio_20.wav,<>
1210,rec_09_audio_21.wav,<>
1178,rec_09_audio_22.wav,<>
1182,rec_09_audio_23.wav,<>
1180,rec_09_audio_24.wav,<>
1201,rec_09_audio_25.wav,<>
1186,rec_09_audio_26.wav,<>
1232,rec_09_audio_27.wav,<>
1202,rec_09_audio_28.wav,<>
1209,rec_09_audio_29.wav,<>
1208,rec_09_audio_3.wav,<>
1183,rec_09_audio_30.wav,<>
1171,rec_09_audio_31.wav,<>
1194,rec_09_audio_32.wav,<>
1173,rec_09_audio_33.wav,<>
1191,rec_09_audio_34.wav,<>
1228,rec_09_audio_35.wav,<>
1216,rec_09_audio_36.wav,<>
1207,rec_09_audio_37.wav,<>
1224,rec_09_audio_38.wav,<>
1176,rec_09_audio_39.wav,<>
1222,rec_09_audio_4.wav,<>
1187,rec_09_audio_40.wav,<>
1220,rec_09_audio_41.wav,<>
1167,rec_09_audio_42.wav,<>
1203,rec_09_audio_43.wav,<>
1199,rec_09_audio_44.wav,<>
1215,rec_09_audio_45.wav,<>
1184,rec_09_audio_46.wav,<>
1205,rec_09_audio_47.wav,<>
1172,rec_09_audio_48.wav,<>
1223,rec_09_audio_49.wav,<>
1196,rec_09_audio_5.wav,<>
1168,rec_09_audio_50.wav,<>
1192,rec_09_audio_51.wav,<>
1214,rec_09_audio_52.wav,<>
1188,rec_09_audio_53.wav,<>
1206,rec_09_audio_54.wav,<>
1219,rec_09_audio_55.wav,<>
1213,rec_09_audio_56.wav,<>
1217,rec_09_audio_57.wav,<>
1185,rec_09_audio_58.wav,<>
1189,rec_09_audio_59.wav,<>
1190,rec_09_audio_6.wav,<>
1170,rec_09_audio_60.wav,<>
1179,rec_09_audio_61.wav,<>
1195,rec_09_audio_62.wav,<>
1174,rec_09_audio_63.wav,<>
1229,rec_09_audio_64.wav,<>
1193,rec_09_audio_65.wav,<>
1177,rec_09_audio_66.wav,<>
1211,rec_09_audio_7.wav,<>
1227,rec_09_audio_8.wav,<>
1200,rec_09_audio_9.wav,<>
1239,rec_10_audio_0.wav,<>
1263,rec_10_audio_1.wav,<>
1274,rec_10_audio_10.wav,<>
1254,rec_10_audio_11.wav,<>
1268,rec_10_audio_12.wav,<>
1234,rec_10_audio_13.wav,<>
1243,rec_10_audio_14.wav,<>
1252,rec_10_audio_15.wav,<>
1246,rec_10_audio_16.wav,<>
1250,rec_10_audio_17.wav,<>
1257,rec_10_audio_18.wav,<>
1233,rec_10_audio_19.wav,<>
1242,rec_10_audio_2.wav,<>
1264,rec_10_audio_20.wav,<>
1261,rec_10_audio_21.wav,<>
1244,rec_10_audio_22.wav,<>
1277,rec_10_audio_23.wav,<>
1235,rec_10_audio_24.wav,<>
1253,rec_10_audio_25.wav,<>
1266,rec_10_audio_26.wav,<>
1241,rec_10_audio_27.wav,<>
1260,rec_10_audio_28.wav,<>
1262,rec_10_audio_29.wav,<>
1245,rec_10_audio_3.wav,<>
1273,rec_10_audio_30.wav,<>
1256,rec_10_audio_31.wav,<>
1251,rec_10_audio_32.wav,<>
1255,rec_10_audio_33.wav,<>
1236,rec_10_audio_34.wav,<>
1259,rec_10_audio_35.wav,<>
1267,rec_10_audio_36.wav,<>
1247,rec_10_audio_37.wav,<>
1258,rec_10_audio_38.wav,<>
1270,rec_10_audio_39.wav,<>
1240,rec_10_audio_4.wav,<>
1272,rec_10_audio_40.wav,<>
1271,rec_10_audio_41.wav,<>
1269,rec_10_audio_42.wav,<>
1276,rec_10_audio_43.wav,<>
1265,rec_10_audio_44.wav,<>
1248,rec_10_audio_5.wav,<>
1278,rec_10_audio_6.wav,<>
1237,rec_10_audio_7.wav,<>
1238,rec_10_audio_8.wav,<>
1275,rec_10_audio_9.wav,<>
1249,rec_10_small_audio_0.wav,<>
755,rec_11_audio_0.wav,<>
791,rec_11_audio_1.wav,<>
776,rec_11_audio_10.wav,<>
785,rec_11_audio_11.wav,<>
775,rec_11_audio_12.wav,<>
772,rec_11_audio_13.wav,<>
758,rec_11_audio_14.wav,<>
795,rec_11_audio_15.wav,<>
767,rec_11_audio_16.wav,<>
777,rec_11_audio_17.wav,<>
761,rec_11_audio_18.wav,<>
793,rec_11_audio_19.wav,<>
782,rec_11_audio_2.wav,<>
786,rec_11_audio_20.wav,<>
763,rec_11_audio_21.wav,<>
764,rec_11_audio_22.wav,<>
756,rec_11_audio_23.wav,<>
792,rec_11_audio_24.wav,<>
780,rec_11_audio_25.wav,<>
790,rec_11_audio_26.wav,<>
769,rec_11_audio_27.wav,<>
781,rec_11_audio_28.wav,<>
766,rec_11_audio_29.wav,<>
794,rec_11_audio_3.wav,<>
768,rec_11_audio_30.wav,<>
760,rec_11_audio_31.wav,<>
787,rec_11_audio_32.wav,<>
773,rec_11_audio_33.wav,<>
788,rec_11_audio_34.wav,<>
759,rec_11_audio_35.wav,<>
757,rec_11_audio_36.wav,<>
784,rec_11_audio_37.wav,<>
783,rec_11_audio_38.wav,<>
762,rec_11_audio_39.wav,<>
779,rec_11_audio_4.wav,<>
778,rec_11_audio_5.wav,<>
765,rec_11_audio_6.wav,<>
771,rec_11_audio_7.wav,<>
774,rec_11_audio_8.wav,<>
770,rec_11_audio_9.wav,<>
789,rec_11_small_audio_0.wav,<>
901,rec_12_audio_0.wav,<>
908,rec_12_audio_1.wav,<>
894,rec_12_audio_10.wav,<>
889,rec_12_audio_11.wav,<>
900,rec_12_audio_12.wav,<>
891,rec_12_audio_13.wav,<>
886,rec_12_audio_14.wav,<>
906,rec_12_audio_15.wav,<>
896,rec_12_audio_16.wav,<>
911,rec_12_audio_17.wav,<>
907,rec_12_audio_18.wav,<>
910,rec_12_audio_19.wav,<>
893,rec_12_audio_2.wav,<>
899,rec_12_audio_20.wav,<>
887,rec_12_audio_21.wav,<>
883,rec_12_audio_22.wav,<>
902,rec_12_audio_23.wav,<>
914,rec_12_audio_24.wav,<>
892,rec_12_audio_3.wav,<>
905,rec_12_audio_4.wav,<>
884,rec_12_audio_5.wav,<>
904,rec_12_audio_6.wav,<>
897,rec_12_audio_7.wav,<>
885,rec_12_audio_8.wav,<>
913,rec_12_audio_9.wav,<>
909,rec_12_big_audio_0.wav,<>
895,rec_12_big_audio_1.wav,<>
903,rec_12_big_audio_2.wav,<>
888,rec_12_big_audio_3.wav,<>
998,rec_12_big_audio_4_chunk_0.wav,<>
999,rec_12_big_audio_4_chunk_1.wav,<>
898,rec_12_small_audio_0.wav,<>
890,rec_12_small_audio_1.wav,<>
882,rec_12_small_audio_2.wav,<>
912,rec_12_small_audio_3.wav,<>
927,rec_13_audio_0.wav,<>
919,rec_13_audio_1.wav,<>
924,rec_13_audio_10.wav,<>
930,rec_13_audio_11.wav,<>
915,rec_13_audio_12.wav,<>
942,rec_13_audio_13.wav,<>
925,rec_13_audio_14.wav,<>
941,rec_13_audio_15.wav,<>
928,rec_13_audio_16.wav,<>
926,rec_13_audio_17.wav,<>
916,rec_13_audio_18.wav,<>
937,rec_13_audio_19.wav,<>
933,rec_13_audio_2.wav,<>
922,rec_13_audio_20.wav,<>
940,rec_13_audio_21.wav,<>
918,rec_13_audio_22.wav,<>
917,rec_13_audio_23.wav,<>
936,rec_13_audio_24.wav,<>
923,rec_13_audio_25.wav,<>
938,rec_13_audio_26.wav,<>
929,rec_13_audio_27.wav,<>
934,rec_13_audio_3.wav,<>
921,rec_13_audio_4.wav,<>
935,rec_13_audio_5.wav,<>
932,rec_13_audio_6.wav,<>
939,rec_13_audio_7.wav,<>
931,rec_13_audio_8.wav,<>
920,rec_13_audio_9.wav,<>
1349,rec_14_audio_0.wav,<>
1373,rec_14_audio_1.wav,<>
1332,rec_14_audio_10.wav,<>
1359,rec_14_audio_100.wav,<>
1323,rec_14_audio_101.wav,<>
1313,rec_14_audio_102.wav,<>
1391,rec_14_audio_103.wav,<>
1394,rec_14_audio_104.wav,<>
1412,rec_14_audio_105.wav,<>
1393,rec_14_audio_106.wav,<>
1389,rec_14_audio_107.wav,<>
1408,rec_14_audio_108.wav,<>
1397,rec_14_audio_109.wav,<>
1293,rec_14_audio_11.wav,<>
1410,rec_14_audio_110.wav,<>
1411,rec_14_audio_111.wav,<>
1414,rec_14_audio_112.wav,<>
1420,rec_14_audio_113.wav,<>
1399,rec_14_audio_114.wav,<>
1385,rec_14_audio_115.wav,<>
1419,rec_14_audio_116.wav,<>
1401,rec_14_audio_117.wav,<>
1415,rec_14_audio_118.wav,<>
1422,rec_14_audio_119.wav,<>
1292,rec_14_audio_12.wav,<>
1406,rec_14_audio_120.wav,<>
1386,rec_14_audio_121.wav,<>
1424,rec_14_audio_122.wav,<>
1409,rec_14_audio_123.wav,<>
1403,rec_14_audio_124.wav,<>
1416,rec_14_audio_125.wav,<>
1423,rec_14_audio_126.wav,<>
1395,rec_14_audio_127.wav,<>
1388,rec_14_audio_128.wav,<>
1402,rec_14_audio_129.wav,<>
1302,rec_14_audio_13.wav,<>
1426,rec_14_audio_130.wav,<>
1418,rec_14_audio_131.wav,<>
1421,rec_14_audio_132.wav,<>
1398,rec_14_audio_133.wav,<>
1400,rec_14_audio_134.wav,<>
1396,rec_14_audio_135.wav,<>
1417,rec_14_audio_136.wav,<>
1387,rec_14_audio_137.wav,<>
1404,rec_14_audio_138.wav,<>
1413,rec_14_audio_139.wav,<>
1290,rec_14_audio_14.wav,<>
1390,rec_14_audio_140.wav,<>
1425,rec_14_audio_141.wav,<>
1392,rec_14_audio_142.wav,<>
1405,rec_14_audio_143.wav,<>
1407,rec_14_audio_144.wav,<>
1353,rec_14_audio_15.wav,<>
1288,rec_14_audio_16.wav,<>
1368,rec_14_audio_17.wav,<>
1348,rec_14_audio_18.wav,<>
1381,rec_14_audio_19.wav,<>
1376,rec_14_audio_2.wav,<>
1328,rec_14_audio_20.wav,<>
1356,rec_14_audio_21.wav,<>
1360,rec_14_audio_22.wav,<>
1352,rec_14_audio_23.wav,<>
1345,rec_14_audio_24.wav,<>
1372,rec_14_audio_25.wav,<>
1330,rec_14_audio_26.wav,<>
1340,rec_14_audio_27.wav,<>
1357,rec_14_audio_28.wav,<>
1318,rec_14_audio_29.wav,<>
1298,rec_14_audio_3.wav,<>
1351,rec_14_audio_30.wav,<>
1317,rec_14_audio_31.wav,<>
1286,rec_14_audio_32.wav,<>
1310,rec_14_audio_33.wav,<>
1344,rec_14_audio_34.wav,<>
1326,rec_14_audio_35.wav,<>
1334,rec_14_audio_36.wav,<>
1312,rec_14_audio_37.wav,<>
1282,rec_14_audio_38.wav,<>
1335,rec_14_audio_39.wav,<>
1325,rec_14_audio_4.wav,<>
1355,rec_14_audio_40.wav,<>
1354,rec_14_audio_41.wav,<>
1365,rec_14_audio_42.wav,<>
1341,rec_14_audio_43.wav,<>
1378,rec_14_audio_44.wav,<>
1364,rec_14_audio_45.wav,<>
1281,rec_14_audio_46.wav,<>
1362,rec_14_audio_47.wav,<>
1296,rec_14_audio_48.wav,<>
1327,rec_14_audio_49.wav,<>
1299,rec_14_audio_5.wav,<>
1361,rec_14_audio_50.wav,<>
1291,rec_14_audio_51.wav,<>
1279,rec_14_audio_52.wav,<>
1384,rec_14_audio_53.wav,<>
1283,rec_14_audio_54.wav,<>
1306,rec_14_audio_55.wav,<>
1321,rec_14_audio_56.wav,<>
1294,rec_14_audio_57.wav,<>
1308,rec_14_audio_58.wav,<>
1380,rec_14_audio_59.wav,<>
1371,rec_14_audio_6.wav,<>
1347,rec_14_audio_60.wav,<>
1366,rec_14_audio_61.wav,<>
1304,rec_14_audio_62.wav,<>
1284,rec_14_audio_63.wav,<>
1336,rec_14_audio_64.wav,<>
1333,rec_14_audio_65.wav,<>
1383,rec_14_audio_66.wav,<>
1320,rec_14_audio_67.wav,<>
1324,rec_14_audio_68.wav,<>
1367,rec_14_audio_69.wav,<>
1307,rec_14_audio_7.wav,<>
1316,rec_14_audio_70.wav,<>
1382,rec_14_audio_71.wav,<>
1303,rec_14_audio_72.wav,<>
1329,rec_14_audio_73.wav,<>
1339,rec_14_audio_74.wav,<>
1309,rec_14_audio_75.wav,<>
1379,rec_14_audio_76.wav,<>
1297,rec_14_audio_77.wav,<>
1295,rec_14_audio_78.wav,<>
1331,rec_14_audio_79.wav,<>
1338,rec_14_audio_8.wav,<>
1322,rec_14_audio_80.wav,<>
1377,rec_14_audio_81.wav,<>
1311,rec_14_audio_82.wav,<>
1346,rec_14_audio_83.wav,<>
1342,rec_14_audio_84.wav,<>
1287,rec_14_audio_85.wav,<>
1300,rec_14_audio_86.wav,<>
1301,rec_14_audio_87.wav,<>
1369,rec_14_audio_88.wav,<>
1358,rec_14_audio_89.wav,<>
1350,rec_14_audio_9.wav,<>
1374,rec_14_audio_90.wav,<>
1370,rec_14_audio_91.wav,<>
1337,rec_14_audio_92.wav,<>
1363,rec_14_audio_93.wav,<>
1289,rec_14_audio_94.wav,<>
1343,rec_14_audio_95.wav,<>
1280,rec_14_audio_96.wav,<>
1305,rec_14_audio_97.wav,<>
1314,rec_14_audio_98.wav,<>
1319,rec_14_audio_99.wav,<>
748,rec_14_big_audio_0.wav_chunk_0.wav,<>
723,rec_14_big_audio_0.wav_chunk_1.wav,<>
747,rec_14_big_audio_0.wav_chunk_2.wav,<>
750,rec_14_big_audio_1.wav_chunk_0.wav,<>
730,rec_14_big_audio_1.wav_chunk_1.wav,<>
1285,rec_14_small_audio_0.wav,<>
1315,rec_14_small_audio_1.wav,<>
1375,rec_14_small_audio_2.wav,<>
1464,rec_15_audio_0.wav,<>
1436,rec_15_audio_1.wav,<>
1461,rec_15_audio_10.wav,<>
1473,rec_15_audio_11.wav,<>
1438,rec_15_audio_12.wav,<>
1456,rec_15_audio_13.wav,<>
1475,rec_15_audio_14.wav,<>
1472,rec_15_audio_15.wav,<>
1457,rec_15_audio_16.wav,<>
1477,rec_15_audio_17.wav,<>
1449,rec_15_audio_18.wav,<>
1463,rec_15_audio_19.wav,<>
1484,rec_15_audio_2.wav,<>
1445,rec_15_audio_20.wav,<>
1440,rec_15_audio_21.wav,<>
1462,rec_15_audio_22.wav,<>
1481,rec_15_audio_23.wav,<>
1431,rec_15_audio_24.wav,<>
1471,rec_15_audio_25.wav,<>
1451,rec_15_audio_26.wav,<>
1452,rec_15_audio_27.wav,<>
1465,rec_15_audio_28.wav,<>
1467,rec_15_audio_29.wav,<>
1444,rec_15_audio_3.wav,<>
1427,rec_15_audio_30.wav,<>
1455,rec_15_audio_31.wav,<>
1429,rec_15_audio_32.wav,<>
1441,rec_15_audio_33.wav,<>
1458,rec_15_audio_34.wav,<>
1439,rec_15_audio_35.wav,<>
1460,rec_15_audio_36.wav,<>
1486,rec_15_audio_37.wav,<>
1478,rec_15_audio_38.wav,<>
1435,rec_15_audio_39.wav,<>
1446,rec_15_audio_4.wav,<>
1432,rec_15_audio_40.wav,<>
1480,rec_15_audio_41.wav,<>
1485,rec_15_audio_42.wav,<>
1466,rec_15_audio_43.wav,<>
1470,rec_15_audio_44.wav,<>
1459,rec_15_audio_45.wav,<>
1487,rec_15_audio_46.wav,<>
1468,rec_15_audio_47.wav,<>
1442,rec_15_audio_48.wav,<>
1483,rec_15_audio_49.wav,<>
1433,rec_15_audio_5.wav,<>
1453,rec_15_audio_50.wav,<>
1437,rec_15_audio_51.wav,<>
1448,rec_15_audio_52.wav,<>
1450,rec_15_audio_53.wav,<>
1443,rec_15_audio_54.wav,<>
1447,rec_15_audio_55.wav,<>
1430,rec_15_audio_56.wav,<>
1474,rec_15_audio_57.wav,<>
1469,rec_15_audio_58.wav,<>
1454,rec_15_audio_59.wav,<>
1476,rec_15_audio_6.wav,<>
1482,rec_15_audio_7.wav,<>
1428,rec_15_audio_8.wav,<>
1479,rec_15_audio_9.wav,<>
1434,rec_15_small_audio_0.wav,<>
1507,rec_16_audio_0.wav,<>
1549,rec_16_audio_1.wav,<>
1493,rec_16_audio_10.wav,<>
1510,rec_16_audio_11.wav,<>
1508,rec_16_audio_12.wav,<>
1553,rec_16_audio_13.wav,<>
1506,rec_16_audio_14.wav,<>
1526,rec_16_audio_15.wav,<>
1520,rec_16_audio_16.wav,<>
1511,rec_16_audio_17.wav,<>
1491,rec_16_audio_18.wav,<>
1522,rec_16_audio_19.wav,<>
1499,rec_16_audio_2.wav,<>
1555,rec_16_audio_20.wav,<>
1535,rec_16_audio_21.wav,<>
1548,rec_16_audio_22.wav,<>
1546,rec_16_audio_23.wav,<>
1498,rec_16_audio_24.wav,<>
1564,rec_16_audio_25.wav,<>
1497,rec_16_audio_26.wav,<>
1516,rec_16_audio_27.wav,<>
1488,rec_16_audio_28.wav,<>
1545,rec_16_audio_29.wav,<>
1523,rec_16_audio_3.wav,<>
1521,rec_16_audio_30.wav,<>
1517,rec_16_audio_31.wav,<>
1519,rec_16_audio_32.wav,<>
1525,rec_16_audio_33.wav,<>
1534,rec_16_audio_34.wav,<>
1529,rec_16_audio_35.wav,<>
1557,rec_16_audio_36.wav,<>
1543,rec_16_audio_37.wav,<>
1502,rec_16_audio_38.wav,<>
1544,rec_16_audio_39.wav,<>
1512,rec_16_audio_4.wav,<>
1561,rec_16_audio_40.wav,<>
1530,rec_16_audio_41.wav,<>
1518,rec_16_audio_42.wav,<>
1533,rec_16_audio_43.wav,<>
1537,rec_16_audio_44.wav,<>
1566,rec_16_audio_45.wav,<>
1556,rec_16_audio_46.wav,<>
1513,rec_16_audio_47.wav,<>
1542,rec_16_audio_48.wav,<>
1540,rec_16_audio_49.wav,<>
1503,rec_16_audio_5.wav,<>
1496,rec_16_audio_50.wav,<>
1563,rec_16_audio_51.wav,<>
1538,rec_16_audio_52.wav,<>
1554,rec_16_audio_53.wav,<>
1551,rec_16_audio_54.wav,<>
1501,rec_16_audio_55.wav,<>
1562,rec_16_audio_56.wav,<>
1560,rec_16_audio_57.wav,<>
1539,rec_16_audio_58.wav,<>
1527,rec_16_audio_59.wav,<>
1494,rec_16_audio_6.wav,<>
1495,rec_16_audio_60.wav,<>
1558,rec_16_audio_61.wav,<>
1524,rec_16_audio_62.wav,<>
1509,rec_16_audio_63.wav,<>
1552,rec_16_audio_64.wav,<>
1531,rec_16_audio_65.wav,<>
1500,rec_16_audio_66.wav,<>
1567,rec_16_audio_67.wav,<>
1514,rec_16_audio_68.wav,<>
1565,rec_16_audio_69.wav,<>
1541,rec_16_audio_7.wav,<>
1490,rec_16_audio_70.wav,<>
1532,rec_16_audio_71.wav,<>
1547,rec_16_audio_72.wav,<>
1504,rec_16_audio_73.wav,<>
1559,rec_16_audio_74.wav,<>
1550,rec_16_audio_75.wav,<>
1528,rec_16_audio_76.wav,<>
1489,rec_16_audio_77.wav,<>
1515,rec_16_audio_78.wav,<>
1492,rec_16_audio_79.wav,<>
1505,rec_16_audio_8.wav,<>
1536,rec_16_audio_9.wav,<>
1606,rec_17_audio_0.wav,<>
1598,rec_17_audio_1.wav,<>
1613,rec_17_audio_10.wav,<>
1569,rec_17_audio_11.wav,<>
1602,rec_17_audio_12.wav,<>
1616,rec_17_audio_13.wav,<>
1604,rec_17_audio_14.wav,<>
1595,rec_17_audio_15.wav,<>
1610,rec_17_audio_16.wav,<>
1609,rec_17_audio_17.wav,<>
1568,rec_17_audio_18.wav,<>
1574,rec_17_audio_19.wav,<>
1586,rec_17_audio_2.wav,<>
1625,rec_17_audio_20.wav,<>
1617,rec_17_audio_21.wav,<>
1591,rec_17_audio_22.wav,<>
1600,rec_17_audio_23.wav,<>
1612,rec_17_audio_24.wav,<>
1571,rec_17_audio_25.wav,<>
1589,rec_17_audio_26.wav,<>
1601,rec_17_audio_27.wav,<>
1624,rec_17_audio_28.wav,<>
1627,rec_17_audio_29.wav,<>
1579,rec_17_audio_3.wav,<>
1577,rec_17_audio_30.wav,<>
1590,rec_17_audio_31.wav,<>
1603,rec_17_audio_32.wav,<>
1585,rec_17_audio_33.wav,<>
1580,rec_17_audio_34.wav,<>
1607,rec_17_audio_35.wav,<>
1572,rec_17_audio_36.wav,<>
1594,rec_17_audio_37.wav,<>
1599,rec_17_audio_38.wav,<>
1626,rec_17_audio_39.wav,<>
1583,rec_17_audio_4.wav,<>
1597,rec_17_audio_40.wav,<>
1615,rec_17_audio_41.wav,<>
1588,rec_17_audio_42.wav,<>
1618,rec_17_audio_43.wav,<>
1619,rec_17_audio_44.wav,<>
1593,rec_17_audio_45.wav,<>
1623,rec_17_audio_46.wav,<>
1592,rec_17_audio_47.wav,<>
1620,rec_17_audio_48.wav,<>
1584,rec_17_audio_49.wav,<>
1621,rec_17_audio_5.wav,<>
1573,rec_17_audio_50.wav,<>
1581,rec_17_audio_51.wav,<>
1587,rec_17_audio_52.wav,<>
1570,rec_17_audio_53.wav,<>
1622,rec_17_audio_54.wav,<>
1582,rec_17_audio_55.wav,<>
1576,rec_17_audio_56.wav,<>
1578,rec_17_audio_57.wav,<>
1575,rec_17_audio_58.wav,<>
1614,rec_17_audio_59.wav,<>
1596,rec_17_audio_6.wav,<>
1608,rec_17_audio_7.wav,<>
1611,rec_17_audio_8.wav,<>
